target_dates,click_d_day,click_d_1,click_d_2,click_d_3,click_d_4,click_d_5,click_d_6,click_d_7
2020-10-24,297933,34684,22407,18236,15443,11663,5752,4364
2020-10-25,252312,23163,13690,9500,7396,5790,4252,2201
2020-10-26,186299,15003,10632,7787,4676,3849,3250,1787
2020-10-27,188382,14977,6884,4759,3993,3072,2171,1734
2020-10-28,183904,17624,7314,4085,3825,3215,2420,1745
2020-10-29,186664,18223,10088,5439,2864,2601,2180,2006
2020-10-30,196416,21511,14202,10698,7324,3365,2820,2539
2020-10-31,293557,35752,23630,19936,16623,11284,5281,4008
2020-11-01,239699,19801,12748,8613,7501,5387,4373,2153
2020-11-02,183889,14058,8947,6499,4620,3511,2467,1815
2020-11-03,178700,13889,5849,4228,3879,3159,2107,1543
2020-11-04,170790,16643,7788,3950,3069,2908,2083,1492
2020-11-05,179604,16322,9450,5409,3564,2800,2359,1987
2020-11-06,193136,20084,11388,8679,6663,3938,2644,2559
2020-11-07,286048,37077,22365,16426,15880,11697,5362,3508
2020-11-08,245428,23474,14333,9514,7370,6183,4561,2238
2020-11-09,183707,14302,10984,8631,5877,3949,3366,2570
2020-11-10,186128,14299,5638,5424,5636,3906,2770,2266
2020-11-11,191670,19108,9579,5170,4489,3793,3842,2185
